Assembly,Filename,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,Reference length,GC (%),Reference GC (%),N50.x,NG50,N75,NG75,L50,LG50,L75,LG75,# misassemblies,# misassembled contigs,Misassembled contigs length,# local misassemblies,# scaffold gap ext. mis.,# scaffold gap loc. mis.,# unaligned mis. contigs,# unaligned contigs,Unaligned length,Genome fraction (%),Duplication ratio,# N's per 100 kbp,# mismatches per 100 kbp,# indels per 100 kbp,Largest alignment,Total aligned length,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75,Source Host,Source Context,Uberstrain,Name,Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Bases.Average.Length.Status.,Sequencing Platform(s),Barcode,Source Details,Collection.Year,Collection.Month,Collection.Day,Continent,Country,Region,District,City,Latitude,Longitude,Serovar,Subspecies,Antigenic.Formulas,Lab.Contact,Bio.Project.ID,Project.ID,Sample.ID,Secondary.Sample.ID,Date.Entered,Release.Date,Status,Coverage,N50.y,Length,Species,Contig.Number...200.bp.,Low.Quality.Bases,Version
SAL_AB0811AA_AS,SAL_AB0811AA_AS.result,93,68,59,55,47,25,4812588,4803092,4778238,4746963,4605996,3754453,73,448956,4806401,4809037,52.24,52.09,137890,137890,53522,53522,10,10,23,23,68,32,3799249,132,1,0,1,9 + 41 part,562727,88.138,1.001,0.62,1313.01,26.02,196293,4241554,48159,48159,26147,26147,30,30,63,63,Poultry,Product,SAL_OA9737AA,FSIS21821387,SRR6930101;ILLUMINA;Paired;300;SRX3875613;;,ILLUMINA;;,SAL_OA9737AA,raw intact chicken,2018,NA,NA,North America,United States,Georgia,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08848660,SRS3115980,2018-04-03,2018-04-03,Assembled,132,137890,4812588,Salmonella enterica;97.62%,90,150680,4
SAL_AB0820AA_AS,SAL_AB0820AA_AS.result,78,51,45,40,35,23,4965685,4954969,4943618,4902251,4841385,4381943,57,707879,4958718,4809037,52.14,52.09,222329,222329,110260,122129,7,7,14,13,72,25,4312082,129,1,1,0,12 + 32 part,723143,87.955,1.001,2.8,1304.63,26.34,148011,4234318,57211,57392,25316,30608,28,27,59,55,Poultry,Product,SAL_OA9773AA,FSIS31800296,SRR6932663;ILLUMINA;Paired;498;SRX3877954;;,ILLUMINA;;,SAL_OA9773AA,raw intact chicken,2018,NA,NA,North America,United States,New Jersey,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08848641,SRS3118028,2018-04-04,2018-04-03,Assembled,147,222329,4965685,Salmonella enterica;100.0%,77,26877,4
SAL_AB0869AA_AS,SAL_AB0869AA_AS.result,181,155,128,111,67,31,4905930,4892436,4815922,4687096,3873705,2618050,167,224478,4900766,4809037,52.27,52.09,52403,52859,26863,28425,28,27,60,57,58,38,2350315,118,1,0,5,26 + 70 part,673766,87.595,1.003,0.39,1295.55,25.23,106559,4218644,30786,31233,15071,15551,45,44,103,98,Poultry,Product,SAL_OA9811AA,FSIS11808704,SRR6933179;ILLUMINA;Paired;500;SRX3878385;;,ILLUMINA;;,SAL_OA9811AA,raw intact chicken,2018,NA,NA,North America,United States,Tennessee,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08851664,SRS3118392,2018-04-04,2018-04-03,Assembled,57,52403,4905930,Salmonella enterica;100.0%,181,82879,4
SAL_AB0896AA_AS,SAL_AB0896AA_AS.result,114,87,68,61,48,37,4972205,4958674,4918675,4866485,4633816,4237752,96,273371,4965288,4809037,52.16,52.09,105141,107943,74323,75489,15,14,29,27,67,28,3303267,121,0,1,4,22 + 53 part,741829,87.654,1.002,2.2,1309.25,26.29,127791,4219787,50059,51008,18787,21771,32,31,69,63,Swine,Animal,SAL_OA9784AA,FSIS11808463,SRR6933290;ILLUMINA;Paired;500;SRX3878467;;,ILLUMINA;;,SAL_OA9784AA,market swine,2018,NA,NA,North America,United States,Ohio,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA292666,SRP062916,SAMN08851636,SRS3118451,2018-04-04,2018-04-03,Assembled,65,105141,4972205,Salmonella enterica;100.0%,114,48204,4
SAL_AB0986AA_AS,SAL_AB0986AA_AS.result,81,48,41,40,34,21,4816258,4802472,4784335,4778140,4667170,4188664,57,706452,4808963,4809037,52.16,52.09,214865,214865,100112,100112,6,6,14,14,71,21,3992855,131,1,0,0,11 + 30 part,599873,87.414,1.001,2.89,1303.42,26.19,182348,4207571,57948,57948,30301,30301,28,28,56,56,Poultry,Product,SAL_OA9986AA,FSIS11808361,SRR6940358;ILLUMINA;Paired;300;SRX3884703;;,ILLUMINA;;,SAL_OA9986AA,raw intact chicken,2018,NA,NA,North America,United States,New Jersey,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08863898,SRS3123912,2018-04-04,2018-04-04,Assembled,124,214865,4816258,Salmonella enterica;95.89%,77,52086,4
SAL_AB0994AA_AS,SAL_AB0994AA_AS.result,87,58,50,45,40,28,4989424,4977962,4957548,4916607,4826775,4397318,65,488857,4982324,4809037,52.04,52.09,161115,161115,81624,88055,8,8,19,17,73,26,4124326,123,0,1,2,8 + 33 part,745903,87.968,1.001,0.2,1305.1,26.43,196296,4234876,55375,56337,18874,25342,29,28,66,60,Bovine,Animal,SAL_OA9978AA,FSIS11808327,SRR6940396;ILLUMINA;Paired;300;SRX3884739;;,ILLUMINA;;,SAL_OA9978AA,cattle-steer,2018,NA,NA,North America,United States,Kansas,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA292666,SRP062916,SAMN08863896,SRS3123946,2018-04-04,2018-04-04,Assembled,79,161115,4989424,Salmonella enterica;98.75%,85,40665,4
SAL_AB2236AA_AS,SAL_AB2236AA_AS.result,151,129,111,97,63,37,4824155,4815257,4761533,4655488,4063741,3130429,135,208292,4819250,4809037,52.25,52.09,71430,71430,38264,39205,25,25,49,48,62,43,2707265,113,1,0,2,14 + 62 part,593677,87.627,1.003,0.21,1302.53,26.25,98997,4218118,35588,35588,15542,15542,40,40,90,90,Poultry,Product,SAL_PA1150AA,FSIS21821388,SRR6976751;ILLUMINA;Paired;300;SRX3918353;;,ILLUMINA;;,SAL_PA1150AA,raw intact chicken,2018,NA,NA,North America,United States,Georgia,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08904767,SRS3153410,2018-04-12,2018-04-10,Assembled,62,71430,4824155,Salmonella enterica;99.3%,149,151800,4
SAL_AB2250AA_AS,SAL_AB2250AA_AS.result,84,60,52,51,42,24,4866264,4855569,4836907,4830712,4674025,3978967,68,428026,4861093,4809037,52.14,52.09,165072,165072,89920,89920,10,10,19,19,74,30,4067904,131,1,0,2,9 + 38 part,608171,88.33,1.001,0.39,1313.67,26.15,148081,4251400,52909,56430,22352,25942,31,30,63,61,Poultry,Product,SAL_PA1136AA,FSIS31800299,SRR6976834;ILLUMINA;Paired;500;SRX3918414;;,ILLUMINA;;,SAL_PA1136AA,raw intact chicken,2018,NA,NA,North America,United States,Maryland,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08904785,SRS3153445,2018-04-12,2018-04-10,Assembled,191,165072,4866264,Salmonella enterica;100.0%,84,62431,4
SAL_AB2258AA_AS,SAL_AB2258AA_AS.result,131,102,80,74,59,35,4940427,4928028,4865240,4823390,4566738,3698347,110,279451,4933513,4809037,52.21,52.09,83692,85217,47686,52559,17,16,36,34,62,36,3348652,118,0,0,3,19 + 54 part,700485,87.756,1.003,0.59,1305.23,26.21,148092,4226530,43840,47870,17856,18874,35,34,77,72,Poultry,Animal,SAL_PA1128AA,FSIS21821395,SRR6976851;ILLUMINA;Paired;300;SRX3918430;;,ILLUMINA;;,SAL_PA1128AA,chicken carcass,2018,NA,NA,North America,United States,Georgia,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08904773,SRS3153461,2018-04-12,2018-04-10,Assembled,76,83692,4940427,Salmonella enterica;99.2%,128,62155,4
SAL_AB2263AA_AS,SAL_AB2263AA_AS.result,93,62,52,46,41,27,4937208,4925062,4895008,4846928,4764286,4257134,69,433167,4929480,4809037,52.13,52.09,182381,182381,81629,91605,9,9,19,18,68,27,4065602,129,1,1,0,10 + 42 part,693924,87.949,1.001,2.64,1304.83,26.41,196296,4234032,52837,52909,26252,27963,29,28,62,58,Poultry,Product,SAL_PA1123AA,FSIS11808682,SRR6977058;ILLUMINA;Paired;300;SRX3918624;;,ILLUMINA;;,SAL_PA1123AA,raw intact chicken,2018,NA,NA,North America,United States,California,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08886751,SRS3153634,2018-04-12,2018-04-10,Assembled,128,182381,4937208,Salmonella enterica;98.82%,90,45210,4
