Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Lab Contact	Phage Type	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly Barcode
SAL_BA1282AA	CVM-N14803	SRR2143495;ILLUMINA;Paired;500;SRX1132056;406717080;231	SAL_BA1282AA	Poultry	Avian	chicken breast	2007				North America	United States	California						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA271470	SRP061987	SAMN03842240	SRS1022624	2015-08-26	2015-08-04	Assembled	82.99	209049	4900789	Salmonella enterica;100.0%	66	3212	2.2	SAL_CA0680AA_AS
SAL_BA1481AA	FSIS1503197	SRR2132182;ILLUMINA;Paired;500;SRX1122658;213228308;151	SAL_BA1481AA	Poultry	Avian	Raw Intact Chicken	2014				North America	United States	California						Typhimurium	I			Department of Agriculture - Food Safety and Inspection Service (US)			PRJNA242847	SRP040648	SAMN03940995	SRS1015299	2015-08-26	2015-07-28	Assembled	44.6	132363	4781150	Salmonella enterica;100.0%	100	11592	2.2	SAL_BA6445AA_AS
SAL_BA1485AA	FSIS1503198	SRR2132178;ILLUMINA;Paired;500;SRX1122654;306683718;151	SAL_BA1485AA	Poultry	Avian	Raw Intact Chicken	2014				North America	United States	California						Typhimurium	I			Department of Agriculture - Food Safety and Inspection Service (US)			PRJNA242847	SRP040648	SAMN03940996	SRS1015294	2015-08-26	2015-07-28	Assembled	62.99	225813	4868415	Salmonella enterica;100.0%	71	6021	2.2	SAL_BA6103AA_AS
SAL_BA1548AA	FSIS1500997	SRR2126721;ILLUMINA;Paired;500;SRX1117809;289067130;135	SAL_BA1548AA	Poultry	Avian	Raw Intact Chicken	2015				North America	United States	Arkansas						Typhimurium	I			Department of Agriculture - Food Safety and Inspection Service (US)			PRJNA242847	SRP040648	SAMN03922764	SRS1010962	2015-08-26	2015-07-24	Assembled	58	271378	5037818	Salmonella enterica;98.21%	65	3505	2.2	SAL_EA3297AA_AS
SAL_BA1598AA	WAPHL_SAL-A00841	SRR2125027;ILLUMINA;Paired;500;SRX1116427;435689562;231	SAL_BA1598AA	Poultry	Avian	chicken breast	2006				North America	United States	New York		New York				Typhimurium var. O5 - (Copenhagen)	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183851	SRP028334	SAMN03291670	SRS1009824	2015-08-26	2015-07-23	Assembled	85	127169	5130173	Salmonella enterica;98.14%	116	12307	2.2	SAL_EA3331AA_AS
SAL_BA1603AA	WAPHL_SAL-A00838	SRR2125020;ILLUMINA;Paired;500;SRX1116420;476701472;218	SAL_BA1603AA	Poultry	Avian	chicken breast	2006				North America	United States	New York		New York				Typhimurium var. O5 - (Copenhagen)	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183851	SRP028334	SAMN03291667	SRS1009825	2015-08-26	2015-07-23	Assembled	94	87053	5081381	Salmonella enterica;99.16%	124	9796	2.2	SAL_EA3339AA_AS
SAL_BA1876AA	WAPHL_SAL-A00833	SRR2102523;ILLUMINA;Paired;500;SRX1097123;476152276;233	SAL_BA1876AA	Poultry	Avian	chicken breast	2006				North America	United States	New York		New York				Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183851	SRP028334	SAMN03291662	SRS992407	2015-08-27	2015-07-14	Assembled	96	150323	4964104	Salmonella enterica;100.0%	95	8086	2.2	SAL_IA5699AA_AS
SAL_BA1936AA	NY-N14671	SRR2102443;ILLUMINA;Paired;500;SRX1097049;423828288;234	SAL_BA1936AA	Poultry	Avian	chicken breast	2007				North America	United States	New York		New York				Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN03276115	SRS992335	2015-08-27	2015-07-14	Assembled	86	209007	4982697	Salmonella enterica;100.0%	81	6604	2.2	SAL_IA5706AA_AS
SAL_BA1947AA	NY-N14666	SRR2102431;ILLUMINA;Paired;500;SRX1097036;362059800;235	SAL_BA1947AA	Poultry	Avian	chicken breast	2007				North America	United States	New York		New York				Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN03276110	SRS992329	2015-08-27	2015-07-14	Assembled	72	89217	5092431	Salmonella enterica;98.39%	129	12501	2.2	SAL_IA5707AA_AS
SAL_BA1954AA	NY-N14667	SRR2102423;ILLUMINA;Paired;500;SRX1097028;344881780;230	SAL_BA1954AA	Poultry	Avian	chicken breast	2007				North America	United States	New York		New York				Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN03276111	SRS992319	2015-08-27	2015-07-14	Assembled	68	63494	5117041	Salmonella enterica;97.13%	150	13633	2.2	SAL_IA5710AA_AS
